"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Sex code (SEX_LABEL)","Meaning of Ethnicity code (ETH_GROUP_LABEL)","Meaning of Race code (RACE_GROUP_LABEL)","Meaning of Veteran code (VET_GROUP_LABEL)","Meaning of Sales, value of shipments, or revenue size of firms code (RCPSZFI_LABEL)","Year (YEAR)","Number of employer firms (FIRMPDEMP)","Sales, value of shipments, or revenue of employer firms ($1,000) (RCPPDEMP)","Number of employees (EMP)","Annual payroll ($1,000) (PAYANN)","Relative standard error of employer firms (%) (FIRMPDEMP_S)","Relative standard error of sales, value of shipments, or revenue of employer firms (%) (RCPPDEMP_S)","Relative standard error of number of employees (%) (EMP_S)","Relative standard error of annual payroll (%) (PAYANN_S)"
"United States","00","Total for all sectors","Total","Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with sales/receipts of $1,000,000 or more","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with sales/receipts of less than $5,000","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with sales/receipts of $5,000 to $9,999","2018","17","103","6","96","33.9","31.2","93.4","63.7"
"United States","00","Total for all sectors","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with sales/receipts of $10,000 to $24,999","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with sales/receipts of $25,000 to $49,999","2018","310","12,545","344","3,598","30.3","29.8","56.5","29.9"
"United States","00","Total for all sectors","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with sales/receipts of $50,000 to $99,999","2018","403","29,942","403","9,367","26.7","27.3","32.8","32.0"
"United States","00","Total for all sectors","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with sales/receipts of $100,000 to $249,999","2018","1,133","190,300","1,716","44,679","19.4","20.4","23.1","24.8"
"United States","00","Total for all sectors","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with sales/receipts of $250,000 to $499,999","2018","1,017","363,833","2,980","104,046","21.7","22.3","21.6","23.3"
"United States","00","Total for all sectors","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with sales/receipts of $500,000 to $999,999","2018","1,005","753,302","6,437","208,647","27.6","27.4","32.2","36.1"
"United States","00","Total for all sectors","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with sales/receipts of $1,000,000 or more","2018","1,287","8,321,055","30,013","1,417,147","18.5","29.2","36.0","27.6"
"United States","00","Total for all sectors","Total","Total","Minority","Total","Firms with sales/receipts of less than $5,000","2018","6,460","14,555","11,537","467,538","10.7","11.1","35.6","40.1"
"United States","00","Total for all sectors","Total","Total","Minority","Total","Firms with sales/receipts of $5,000 to $9,999","2018","7,194","50,635","6,823","180,266","13.7","14.3","17.5","31.6"
"United States","00","Total for all sectors","Total","Total","Minority","Total","Firms with sales/receipts of $10,000 to $24,999","2018","18,864","324,412","22,234","460,013","4.5","4.8","17.5","18.5"
"United States","00","Total for all sectors","Total","Total","Minority","Total","Firms with sales/receipts of $25,000 to $49,999","2018","35,808","1,344,513","40,714","711,760","4.4","4.3","6.9","13.8"
"United States","00","Total for all sectors","Total","Total","Minority","Total","Firms with sales/receipts of $50,000 to $99,999","2018","88,744","6,603,432","125,490","2,330,937","3.0","3.0","5.5","12.7"
"United States","00","Total for all sectors","Total","Total","Minority","Total","Firms with sales/receipts of $100,000 to $249,999","2018","224,280","38,213,682","490,432","10,332,245","1.5","1.4","2.2","1.2"
"United States","00","Total for all sectors","Total","Total","Minority","Total","Firms with sales/receipts of $250,000 to $499,999","2018","221,793","80,081,726","865,638","20,465,862","1.4","1.4","2.7","2.9"
"United States","00","Total for all sectors","Total","Total","Minority","Total","Firms with sales/receipts of $500,000 to $999,999","2018","190,011","134,645,228","1,269,106","34,493,330","2.7","2.9","2.5","2.6"
"United States","00","Total for all sectors","Total","Total","Minority","Total","Firms with sales/receipts of $1,000,000 or more","2018","255,173","1,220,340,734","6,600,106","253,585,595","1.4","2.9","2.4","2.4"
"United States","00","Total for all sectors","Female","Total","Minority","Total","Firms with sales/receipts of less than $5,000","2018","1,950","4,609","1,717","76,093","15.6","12.5","27.2","43.0"
"United States","00","Total for all sectors","Female","Total","Minority","Total","Firms with sales/receipts of $5,000 to $9,999","2018","2,470","17,179","1,663","46,758","19.0","19.3","26.1","11.6"
"United States","00","Total for all sectors","Female","Total","Minority","Total","Firms with sales/receipts of $10,000 to $24,999","2018","6,685","116,458","7,291","120,925","6.1","6.7","12.8","25.4"
"United States","00","Total for all sectors","Female","Total","Minority","Total","Firms with sales/receipts of $25,000 to $49,999","2018","12,381","460,374","14,267","192,129","9.5","9.7","15.7","27.6"
"United States","00","Total for all sectors","Female","Total","Minority","Total","Firms with sales/receipts of $50,000 to $99,999","2018","30,628","2,262,863","45,555","696,436","4.3","4.7","7.0","6.5"
"United States","00","Total for all sectors","Female","Total","Minority","Total","Firms with sales/receipts of $100,000 to $249,999","2018","67,534","11,346,687","157,802","3,137,435","3.1","2.6","3.7","3.5"
"United States","00","Total for all sectors","Female","Total","Minority","Total","Firms with sales/receipts of $250,000 to $499,999","2018","60,796","21,825,653","257,563","5,949,508","3.6","3.9","4.9","4.2"
"United States","00","Total for all sectors","Female","Total","Minority","Total","Firms with sales/receipts of $500,000 to $999,999","2018","46,866","33,068,758","339,956","8,955,328","3.4","3.9","5.8","5.3"
"United States","00","Total for all sectors","Female","Total","Minority","Total","Firms with sales/receipts of $1,000,000 or more","2018","56,141","230,210,561","1,464,538","54,556,670","3.1","8.7","7.6","6.6"
"United States","00","Total for all sectors","Male","Total","Minority","Total","Firms with sales/receipts of less than $5,000","2018","3,977","8,728","9,421","367,662","14.4","14.7","40.4","47.6"
"United States","00","Total for all sectors","Male","Total","Minority","Total","Firms with sales/receipts of $5,000 to $9,999","2018","3,923","27,595","3,820","111,080","14.6","15.0","19.2","43.9"
"United States","00","Total for all sectors","Male","Total","Minority","Total","Firms with sales/receipts of $10,000 to $24,999","2018","10,260","175,305","11,728","261,640","4.7","4.7","18.6","18.2"
"United States","00","Total for all sectors","Male","Total","Minority","Total","Firms with sales/receipts of $25,000 to $49,999","2018","19,003","716,035","21,490","458,173","4.6","4.4","8.9","15.0"
"United States","00","Total for all sectors","Male","Total","Minority","Total","Firms with sales/receipts of $50,000 to $99,999","2018","47,956","3,583,847","64,561","1,336,061","4.5","4.7","10.0","22.3"
"United States","00","Total for all sectors","Male","Total","Minority","Total","Firms with sales/receipts of $100,000 to $249,999","2018","126,304","21,608,269","260,566","5,799,034","1.6","1.7","3.9","3.1"
"United States","00","Total for all sectors","Male","Total","Minority","Total","Firms with sales/receipts of $250,000 to $499,999","2018","131,890","47,853,568","486,069","11,795,902","2.0","2.0","4.5","3.4"
"United States","00","Total for all sectors","Male","Total","Minority","Total","Firms with sales/receipts of $500,000 to $999,999","2018","115,620","82,098,196","735,230","20,952,067","3.7","4.0","4.3","3.5"
"United States","00","Total for all sectors","Male","Total","Minority","Total","Firms with sales/receipts of $1,000,000 or more","2018","164,648","868,643,538","4,334,392","173,560,512","1.6","4.7","3.2","3.0"
"United States","00","Total for all sectors","Equally male/female","Total","Minority","Total","Firms with sales/receipts of less than $5,000","2018","533","1,218","399","23,783","28.2","36.8","50.5","76.8"
"United States","00","Total for all sectors","Equally male/female","Total","Minority","Total","Firms with sales/receipts of $5,000 to $9,999","2018","801","5,861","1,340","22,427","26.0","25.3","58.0","71.3"
"United States","00","Total for all sectors","Equally male/female","Total","Minority","Total","Firms with sales/receipts of $10,000 to $24,999","2018","1,920","32,649","3,214","77,448","18.8","20.2","75.4","73.1"
"United States","00","Total for all sectors","Equally male/female","Total","Minority","Total","Firms with sales/receipts of $25,000 to $49,999","2018","4,422","168,104","4,957","61,458","15.9","16.9","15.4","23.3"
"United States","00","Total for all sectors","Equally male/female","Total","Minority","Total","Firms with sales/receipts of $50,000 to $99,999","2018","10,160","756,722","15,374","298,440","5.2","5.3","6.6","42.3"
"United States","00","Total for all sectors","Equally male/female","Total","Minority","Total","Firms with sales/receipts of $100,000 to $249,999","2018","30,440","5,258,726","72,064","1,395,776","4.5","4.5","5.4","4.9"
"United States","00","Total for all sectors","Equally male/female","Total","Minority","Total","Firms with sales/receipts of $250,000 to $499,999","2018","29,107","10,402,506","122,006","2,720,452","2.9","3.0","8.7","16.3"
"United States","00","Total for all sectors","Equally male/female","Total","Minority","Total","Firms with sales/receipts of $500,000 to $999,999","2018","27,523","19,478,274","193,920","4,585,935","2.5","2.6","5.5","4.1"
"United States","00","Total for all sectors","Equally male/female","Total","Minority","Total","Firms with sales/receipts of $1,000,000 or more","2018","34,381","121,486,636","801,176","25,468,413","4.7","6.5","5.1","7.7"
"United States","00","Total for all sectors","Total","Total","Equally minority/nonminority","Total","Firms with sales/receipts of less than $5,000","2018","371","859","189","18,790","22.0","24.6","41.6","16.1"
"United States","00","Total for all sectors","Total","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $5,000 to $9,999","2018","593","4,101","1,231","13,157","35.8","34.4","96.3","67.4"
"United States","00","Total for all sectors","Total","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $10,000 to $24,999","2018","1,420","25,495","1,128","37,359","22.0","26.3","38.2","41.4"
"United States","00","Total for all sectors","Total","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $25,000 to $49,999","2018","3,231","119,472","3,324","70,158","11.0","10.9","18.4","30.2"
"United States","00","Total for all sectors","Total","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $50,000 to $99,999","2018","6,789","506,060","8,537","154,571","8.7","10.1","17.0","13.3"
"United States","00","Total for all sectors","Total","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $100,000 to $249,999","2018","17,430","2,975,873","35,884","786,809","5.0","5.8","8.0","6.4"
"United States","00","Total for all sectors","Total","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $250,000 to $499,999","2018","17,850","6,399,933","72,065","1,773,687","5.7","5.9","6.6","5.4"
"United States","00","Total for all sectors","Total","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $500,000 to $999,999","2018","16,019","11,475,752","105,212","3,236,916","7.7","8.3","10.7","8.3"
"United States","00","Total for all sectors","Total","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $1,000,000 or more","2018","22,933","112,592,925","615,835","27,848,826","4.9","10.6","9.0","10.2"
"United States","00","Total for all sectors","Female","Total","Equally minority/nonminority","Total","Firms with sales/receipts of less than $5,000","2018","11","24","7","684","30.1","33.3","90.4","89.4"
"United States","00","Total for all sectors","Female","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $5,000 to $9,999","2018","3","24","0","32","53.5","13.4","0.0","10.0"
"United States","00","Total for all sectors","Female","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $10,000 to $24,999","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Female","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $25,000 to $49,999","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Female","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $50,000 to $99,999","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Female","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $100,000 to $249,999","2018","728","126,050","1,599","33,829","20.5","21.9","34.8","26.7"
"United States","00","Total for all sectors","Female","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $250,000 to $499,999","2018","1,003","359,387","4,472","114,486","27.3","28.3","39.5","40.4"
"United States","00","Total for all sectors","Female","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $500,000 to $999,999","2018","814","567,685","5,568","177,375","30.0","35.5","44.2","43.8"
"United States","00","Total for all sectors","Female","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $1,000,000 or more","2018","1,165","2,642,220","19,533","666,738","36.0","31.6","54.9","36.4"
"United States","00","Total for all sectors","Male","Total","Equally minority/nonminority","Total","Firms with sales/receipts of less than $5,000","2018","69","142","68","5,174","36.2","33.5","52.3","31.3"
"United States","00","Total for all sectors","Male","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $5,000 to $9,999","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Male","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $10,000 to $24,999","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Male","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $25,000 to $49,999","2018","641","23,823","664","23,916","30.8","27.3","47.5","54.0"
"United States","00","Total for all sectors","Male","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $50,000 to $99,999","2018","1,040","78,213","1,030","27,492","17.0","17.7","24.9","24.4"
"United States","00","Total for all sectors","Male","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $100,000 to $249,999","2018","3,442","593,190","7,494","180,931","13.9","14.0","17.8","22.1"
"United States","00","Total for all sectors","Male","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $250,000 to $499,999","2018","3,636","1,320,138","15,396","372,691","12.6","12.9","22.3","16.2"
"United States","00","Total for all sectors","Male","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $500,000 to $999,999","2018","4,091","2,948,722","26,170","881,446","14.6","14.6","18.7","14.4"
"United States","00","Total for all sectors","Male","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $1,000,000 or more","2018","7,423","55,041,828","236,032","13,958,001","9.5","19.7","17.2","20.5"
"United States","00","Total for all sectors","Equally male/female","Total","Equally minority/nonminority","Total","Firms with sales/receipts of less than $5,000","2018","290","693","113","12,932","27.8","34.4","66.8","15.2"
"United States","00","Total for all sectors","Equally male/female","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $5,000 to $9,999","2018","469","3,260","1,080","8,649","44.0","42.9","111.4","89.9"
"United States","00","Total for all sectors","Equally male/female","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $10,000 to $24,999","2018","1,057","18,633","942","33,629","25.3","29.1","45.4","47.0"
"United States","00","Total for all sectors","Equally male/female","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $25,000 to $49,999","2018","2,417","88,841","2,482","32,115","14.5","14.7","24.7","14.7"
"United States","00","Total for all sectors","Equally male/female","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $50,000 to $99,999","2018","5,395","404,314","7,177","119,066","11.1","12.2","20.1","15.6"
"United States","00","Total for all sectors","Equally male/female","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $100,000 to $249,999","2018","13,258","2,256,633","26,792","572,049","6.5","6.9","9.9","7.3"
"United States","00","Total for all sectors","Equally male/female","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $250,000 to $499,999","2018","13,211","4,720,408","52,197","1,286,510","4.9","4.9","5.5","3.8"
"United States","00","Total for all sectors","Equally male/female","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $500,000 to $999,999","2018","11,114","7,959,345","73,473","2,178,094","8.5","8.7","9.7","9.9"
"United States","00","Total for all sectors","Equally male/female","Total","Equally minority/nonminority","Total","Firms with sales/receipts of $1,000,000 or more","2018","14,346","54,908,877","360,270","13,224,087","3.7","13.9","9.6","9.9"
"United States","00","Total for all sectors","Total","Total","Nonminority","Total","Firms with sales/receipts of less than $5,000","2018","28,540","65,621","66,943","3,529,340","3.3","4.3","15.4","16.6"
"United States","00","Total for all sectors","Total","Total","Nonminority","Total","Firms with sales/receipts of $5,000 to $9,999","2018","31,408","217,158","31,007","1,078,643","5.0","4.9","6.0","10.0"
"United States","00","Total for all sectors","Total","Total","Nonminority","Total","Firms with sales/receipts of $10,000 to $24,999","2018","91,417","1,550,322","99,699","2,901,027","2.6","2.8","12.7","22.7"
"United States","00","Total for all sectors","Total","Total","Nonminority","Total","Firms with sales/receipts of $25,000 to $49,999","2018","169,321","6,314,217","189,598","4,663,815","2.0","2.1","7.2","37.8"
"United States","00","Total for all sectors","Total","Total","Nonminority","Total","Firms with sales/receipts of $50,000 to $99,999","2018","373,738","27,758,254","480,449","9,247,859","1.3","1.3","2.6","3.3"
"United States","00","Total for all sectors","Total","Total","Nonminority","Total","Firms with sales/receipts of $100,000 to $249,999","2018","877,734","147,933,110","1,684,310","42,969,292","1.0","1.1","0.8","1.1"
"United States","00","Total for all sectors","Total","Total","Nonminority","Total","Firms with sales/receipts of $250,000 to $499,999","2018","838,480","301,986,692","2,933,607","84,938,946","0.9","1.1","2.0","1.4"
"United States","00","Total for all sectors","Total","Total","Nonminority","Total","Firms with sales/receipts of $500,000 to $999,999","2018","740,250","526,620,057","4,437,388","147,251,265","0.7","0.7","1.1","1.1"
"United States","00","Total for all sectors","Total","Total","Nonminority","Total","Firms with sales/receipts of $1,000,000 or more","2018","1,213,281","11,729,314,494","43,267,298","2,154,891,918","0.5","3.0","1.2","1.1"
"United States","00","Total for all sectors","Female","Total","Nonminority","Total","Firms with sales/receipts of less than $5,000","2018","6,383","15,484","15,395","700,401","6.9","8.2","36.0","49.9"
"United States","00","Total for all sectors","Female","Total","Nonminority","Total","Firms with sales/receipts of $5,000 to $9,999","2018","7,181","49,833","7,236","282,489","9.1","8.5","22.2","8.3"
"United States","00","Total for all sectors","Female","Total","Nonminority","Total","Firms with sales/receipts of $10,000 to $24,999","2018","23,570","404,684","22,416","473,078","4.8","5.0","9.5","26.0"
"United States","00","Total for all sectors","Female","Total","Nonminority","Total","Firms with sales/receipts of $25,000 to $49,999","2018","45,446","1,695,079","46,706","703,720","3.9","3.7","10.3","9.0"
"United States","00","Total for all sectors","Female","Total","Nonminority","Total","Firms with sales/receipts of $50,000 to $99,999","2018","100,171","7,422,243","134,855","2,351,973","1.6","1.5","3.9","2.8"
"United States","00","Total for all sectors","Female","Total","Nonminority","Total","Firms with sales/receipts of $100,000 to $249,999","2018","202,149","33,746,123","438,912","10,131,372","1.5","1.6","2.3","2.1"
"United States","00","Total for all sectors","Female","Total","Nonminority","Total","Firms with sales/receipts of $250,000 to $499,999","2018","166,242","59,156,527","675,873","17,479,691","1.9","2.1","2.9","3.1"
"United States","00","Total for all sectors","Female","Total","Nonminority","Total","Firms with sales/receipts of $500,000 to $999,999","2018","130,149","91,718,979","930,175","27,430,577","2.4","2.6","5.0","3.4"
"United States","00","Total for all sectors","Female","Total","Nonminority","Total","Firms with sales/receipts of $1,000,000 or more","2018","170,303","1,279,585,600","5,555,616","253,784,624","0.8","5.5","2.5","3.0"
"United States","00","Total for all sectors","Male","Total","Nonminority","Total","Firms with sales/receipts of less than $5,000","2018","17,516","39,983","45,107","2,590,314","5.1","6.2","24.5","23.4"
"United States","00","Total for all sectors","Male","Total","Nonminority","Total","Firms with sales/receipts of $5,000 to $9,999","2018","19,023","132,233","19,451","696,409","5.8","5.3","5.4","14.0"
"United States","00","Total for all sectors","Male","Total","Nonminority","Total","Firms with sales/receipts of $10,000 to $24,999","2018","52,555","885,976","53,934","1,582,880","3.0","2.9","7.6","14.0"
"United States","00","Total for all sectors","Male","Total","Nonminority","Total","Firms with sales/receipts of $25,000 to $49,999","2018","99,234","3,708,695","116,258","3,584,410","3.0","3.2","10.8","49.4"
"United States","00","Total for all sectors","Male","Total","Nonminority","Total","Firms with sales/receipts of $50,000 to $99,999","2018","216,046","16,075,985","264,413","5,615,720","1.9","2.0","3.5","4.4"
"United States","00","Total for all sectors","Male","Total","Nonminority","Total","Firms with sales/receipts of $100,000 to $249,999","2018","541,727","91,500,111","961,540","26,748,062","1.5","1.5","1.6","1.6"
"United States","00","Total for all sectors","Male","Total","Nonminority","Total","Firms with sales/receipts of $250,000 to $499,999","2018","537,944","194,406,361","1,694,445","54,609,936","0.8","1.0","1.7","1.7"
"United States","00","Total for all sectors","Male","Total","Nonminority","Total","Firms with sales/receipts of $500,000 to $999,999","2018","493,167","351,886,628","2,728,455","98,077,202","1.3","1.4","1.8","2.1"
"United States","00","Total for all sectors","Male","Total","Nonminority","Total","Firms with sales/receipts of $1,000,000 or more","2018","875,455","9,496,672,627","33,248,370","1,716,897,504","0.8","3.3","1.5","1.4"
"United States","00","Total for all sectors","Equally male/female","Total","Nonminority","Total","Firms with sales/receipts of less than $5,000","2018","4,643","10,155","6,442","238,625","16.9","18.4","30.9","44.1"
"United States","00","Total for all sectors","Equally male/female","Total","Nonminority","Total","Firms with sales/receipts of $5,000 to $9,999","2018","5,204","35,092","4,320","99,745","11.3","12.0","23.9","39.4"
"United States","00","Total for all sectors","Equally male/female","Total","Nonminority","Total","Firms with sales/receipts of $10,000 to $24,999","2018","15,294","259,662","23,350","845,069","5.3","6.1","52.4","85.4"
"United States","00","Total for all sectors","Equally male/female","Total","Nonminority","Total","Firms with sales/receipts of $25,000 to $49,999","2018","24,641","910,444","26,634","375,685","4.0","4.4","7.3","6.7"
"United States","00","Total for all sectors","Equally male/female","Total","Nonminority","Total","Firms with sales/receipts of $50,000 to $99,999","2018","57,519","4,260,026","81,181","1,280,166","2.4","2.7","4.2","4.2"
"United States","00","Total for all sectors","Equally male/female","Total","Nonminority","Total","Firms with sales/receipts of $100,000 to $249,999","2018","133,861","22,686,877","283,858","6,089,859","2.0","2.0","2.9","2.1"
"United States","00","Total for all sectors","Equally male/female","Total","Nonminority","Total","Firms with sales/receipts of $250,000 to $499,999","2018","134,293","48,423,804","563,290","12,849,319","2.5","2.7","5.9","2.6"
"United States","00","Total for all sectors","Equally male/female","Total","Nonminority","Total","Firms with sales/receipts of $500,000 to $999,999","2018","116,933","83,014,450","778,758","21,743,486","2.3","2.3","5.6","2.7"
"United States","00","Total for all sectors","Equally male/female","Total","Nonminority","Total","Firms with sales/receipts of $1,000,000 or more","2018","167,523","953,056,267","4,463,312","184,209,790","1.2","5.7","3.0","2.6"
"United States","00","Total for all sectors","Total","Total","Total","Veteran","Firms with sales/receipts of less than $5,000","2018","2,503","5,367","6,560","236,708","18.7","19.5","62.2","43.4"
"United States","00","Total for all sectors","Total","Total","Total","Veteran","Firms with sales/receipts of $5,000 to $9,999","2018","3,431","23,794","2,233","62,579","13.2","12.9","22.4","31.1"
"United States","00","Total for all sectors","Total","Total","Total","Veteran","Firms with sales/receipts of $10,000 to $24,999","2018","7,879","133,170","7,717","148,408","11.6","12.5","25.0","31.6"
"United States","00","Total for all sectors","Total","Total","Total","Veteran","Firms with sales/receipts of $25,000 to $49,999","2018","15,096","562,066","23,388","1,351,777","4.8","5.0","54.3","132.4"
"United States","00","Total for all sectors","Total","Total","Total","Veteran","Firms with sales/receipts of $50,000 to $99,999","2018","31,360","2,347,820","40,819","772,063","5.0","4.8","9.6","7.3"
"United States","00","Total for all sectors","Total","Total","Total","Veteran","Firms with sales/receipts of $100,000 to $249,999","2018","72,267","12,089,569","129,403","3,377,308","3.3","3.6","4.1","5.6"
"United States","00","Total for all sectors","Total","Total","Total","Veteran","Firms with sales/receipts of $250,000 to $499,999","2018","67,023","24,114,614","224,809","6,959,901","2.6","2.4","3.2","4.3"
"United States","00","Total for all sectors","Total","Total","Total","Veteran","Firms with sales/receipts of $500,000 to $999,999","2018","53,923","38,412,176","324,740","11,239,937","3.2","3.3","5.7","5.4"
"United States","00","Total for all sectors","Total","Total","Total","Veteran","Firms with sales/receipts of $1,000,000 or more","2018","84,454","870,015,817","3,098,032","153,554,881","2.8","16.7","4.2","4.1"
"United States","00","Total for all sectors","Female","Total","Total","Veteran","Firms with sales/receipts of less than $5,000","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Female","Total","Total","Veteran","Firms with sales/receipts of $5,000 to $9,999","2018","163","946","192","9,467","42.0","37.6","137.1","106.5"
"United States","00","Total for all sectors","Female","Total","Total","Veteran","Firms with sales/receipts of $10,000 to $24,999","2018","296","4,883","501","20,578","33.4","42.9","93.1","142.0"
"United States","00","Total for all sectors","Female","Total","Total","Veteran","Firms with sales/receipts of $25,000 to $49,999","2018","670","26,189","1,051","6,418","26.6","26.8","47.7","32.4"
"United States","00","Total for all sectors","Female","Total","Total","Veteran","Firms with sales/receipts of $50,000 to $99,999","2018","1,462","107,286","1,791","31,070","16.0","15.3","29.9","20.0"
"United States","00","Total for all sectors","Female","Total","Total","Veteran","Firms with sales/receipts of $100,000 to $249,999","2018","2,741","456,059","4,733","144,661","12.8","14.7","21.5","19.6"
"United States","00","Total for all sectors","Female","Total","Total","Veteran","Firms with sales/receipts of $250,000 to $499,999","2018","2,410","862,485","11,624","280,287","10.0","10.3","15.3","11.2"
"United States","00","Total for all sectors","Female","Total","Total","Veteran","Firms with sales/receipts of $500,000 to $999,999","2018","1,578","1,132,371","13,819","349,460","26.7","24.1","31.2","26.1"
"United States","00","Total for all sectors","Female","Total","Total","Veteran","Firms with sales/receipts of $1,000,000 or more","2018","1,802","9,348,201","47,282","2,560,941","17.3","10.5","12.9","12.8"
"United States","00","Total for all sectors","Male","Total","Total","Veteran","Firms with sales/receipts of less than $5,000","2018","2,412","5,069","6,481","235,185","18.1","17.5","63.1","43.7"
"United States","00","Total for all sectors","Male","Total","Total","Veteran","Firms with sales/receipts of $5,000 to $9,999","2018","3,235","22,611","2,041","53,041","15.1","14.6","19.7","31.1"
"United States","00","Total for all sectors","Male","Total","Total","Veteran","Firms with sales/receipts of $10,000 to $24,999","2018","7,506","127,281","7,181","127,353","11.7","12.2","26.3","33.5"
"United States","00","Total for all sectors","Male","Total","Total","Veteran","Firms with sales/receipts of $25,000 to $49,999","2018","14,339","532,469","22,258","1,344,624","5.2","5.5","55.9","132.9"
"United States","00","Total for all sectors","Male","Total","Total","Veteran","Firms with sales/receipts of $50,000 to $99,999","2018","29,525","2,213,250","38,078","725,394","5.6","5.4","10.9","8.2"
"United States","00","Total for all sectors","Male","Total","Total","Veteran","Firms with sales/receipts of $100,000 to $249,999","2018","68,490","11,457,766","122,026","3,177,109","3.1","3.1","3.4","4.9"
"United States","00","Total for all sectors","Male","Total","Total","Veteran","Firms with sales/receipts of $250,000 to $499,999","2018","63,709","22,920,243","209,316","6,589,911","2.8","2.5","3.1","4.4"
"United States","00","Total for all sectors","Male","Total","Total","Veteran","Firms with sales/receipts of $500,000 to $999,999","2018","51,771","36,882,763","306,597","10,756,777","2.9","3.0","5.9","5.2"
"United States","00","Total for all sectors","Male","Total","Total","Veteran","Firms with sales/receipts of $1,000,000 or more","2018","82,067","859,354,242","3,033,294","150,602,229","2.9","16.9","4.2","4.1"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Veteran","Firms with sales/receipts of less than $5,000","2018","S","S","0 to 19 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Veteran","Firms with sales/receipts of $5,000 to $9,999","2018","S","S","0 to 19 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Veteran","Firms with sales/receipts of $10,000 to $24,999","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Veteran","Firms with sales/receipts of $25,000 to $49,999","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Veteran","Firms with sales/receipts of $50,000 to $99,999","2018","375","27,284","950","15,599","39.1","37.6","59.9","82.8"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Veteran","Firms with sales/receipts of $100,000 to $249,999","2018","1,035","175,744","2,645","55,538","20.5","24.7","39.4","34.5"
