"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Sex code (SEX_LABEL)","Meaning of Ethnicity code (ETH_GROUP_LABEL)","Meaning of Race code (RACE_GROUP_LABEL)","Meaning of Veteran code (VET_GROUP_LABEL)","Meaning of Years in business code (YIBSZFI_LABEL)","Year (YEAR)","Number of employer firms (FIRMPDEMP)","Sales, value of shipments, or revenue of employer firms ($1,000) (RCPPDEMP)","Number of employees (EMP)","Annual payroll ($1,000) (PAYANN)","Relative standard error of employer firms (%) (FIRMPDEMP_S)","Relative standard error of sales, value of shipments, or revenue of employer firms (%) (RCPPDEMP_S)","Relative standard error of number of employees (%) (EMP_S)","Relative standard error of annual payroll (%) (PAYANN_S)"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","Total","Total","Firms with 6 to 10 years in business","2018","3,077","U","60,752","771,592","14.7","S","13.8","46.3"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","Total","Total","Firms with 11 to 15 years in business","2018","3,752","U","22,480","1,066,651","16.4","S","13.9","19.7"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","Total","Total","Firms with 16 or more years in business","2018","9,766","W","222,207","4,313,892","8.6","S","62.9","20.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Non-Hispanic","Total","Total","Firms with less than 2 years in business","2018","360","R","3,079","68,298","25.4","S","7.0","7.7"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Non-Hispanic","Total","Total","Firms with 2 to 3 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Non-Hispanic","Total","Total","Firms with 4 to 5 years in business","2018","322","O","774","27,923","49.2","S","44.5","38.6"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Non-Hispanic","Total","Total","Firms with 6 to 10 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Non-Hispanic","Total","Total","Firms with 11 to 15 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Non-Hispanic","Total","Total","Firms with 16 or more years in business","2018","766","T","10,906","135,931","31.7","S","84.8","27.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Non-Hispanic","Total","Total","Firms with less than 2 years in business","2018","1,732","U","8,910","327,219","11.6","S","13.6","14.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Non-Hispanic","Total","Total","Firms with 2 to 3 years in business","2018","1,834","U","156,002","238,454","22.5","S","44.9","45.2"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Non-Hispanic","Total","Total","Firms with 4 to 5 years in business","2018","1,251","U","8,888","219,179","30.9","S","66.3","54.1"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Non-Hispanic","Total","Total","Firms with 6 to 10 years in business","2018","S","S","50,000 to 99,999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Non-Hispanic","Total","Total","Firms with 11 to 15 years in business","2018","2,129","U","14,904","787,732","25.4","S","25.5","32.2"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Non-Hispanic","Total","Total","Firms with 16 or more years in business","2018","6,540","W","157,930","3,439,339","11.3","S","81.1","25.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Non-Hispanic","Total","Total","Firms with less than 2 years in business","2018","484","R","3,580","92,963","23.0","S","5.3","7.6"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Non-Hispanic","Total","Total","Firms with 2 to 3 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Non-Hispanic","Total","Total","Firms with 4 to 5 years in business","2018","520","R","3,215","73,737","40.0","S","17.5","28.9"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Non-Hispanic","Total","Total","Firms with 6 to 10 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Non-Hispanic","Total","Total","Firms with 11 to 15 years in business","2018","1,104","T","5,895","239,312","18.2","S","41.1","47.1"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Non-Hispanic","Total","Total","Firms with 16 or more years in business","2018","S","S","50,000 to 99,999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","White","Total","Firms with less than 2 years in business","2018","2,642","U","17,142","522,782","9.0","S","7.3","9.3"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","White","Total","Firms with 2 to 3 years in business","2018","2,755","U","67,687","657,557","19.4","S","101.0","38.6"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","White","Total","Firms with 4 to 5 years in business","2018","2,146","U","20,534","439,152","18.1","S","34.8","23.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","White","Total","Firms with 6 to 10 years in business","2018","3,161","W","75,888","1,687,781","16.3","S","16.6","59.1"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","White","Total","Firms with 11 to 15 years in business","2018","3,904","U","28,294","1,114,822","18.9","S","16.8","17.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","White","Total","Firms with 16 or more years in business","2018","9,805","W","218,171","4,071,898","9.1","S","65.2","22.0"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","White","Total","Firms with less than 2 years in business","2018","372","R","3,509","87,428","24.6","S","6.1","6.2"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","White","Total","Firms with 2 to 3 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","White","Total","Firms with 4 to 5 years in business","2018","322","R","1,127","49,790","49.2","S","30.7","21.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","White","Total","Firms with 6 to 10 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","White","Total","Firms with 11 to 15 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","White","Total","Firms with 16 or more years in business","2018","828","T","11,540","143,098","31.6","S","79.7","26.9"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","White","Total","Firms with less than 2 years in business","2018","1,815","U","10,083","343,125","11.3","S","11.8","13.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","White","Total","Firms with 2 to 3 years in business","2018","1,951","U","62,545","505,031","25.2","S","110.1","50.6"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","White","Total","Firms with 4 to 5 years in business","2018","1,306","U","16,191","315,644","29.3","S","45.7","36.5"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","White","Total","Firms with 6 to 10 years in business","2018","S","S","50,000 to 99,999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","White","Total","Firms with 11 to 15 years in business","2018","2,264","U","20,089","812,229","25.5","S","21.8","23.9"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","White","Total","Firms with 16 or more years in business","2018","6,455","W","151,167","3,108,388","11.3","S","86.5","25.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","White","Total","Firms with less than 2 years in business","2018","455","R","3,551","92,229","19.7","S","5.4","7.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","White","Total","Firms with 2 to 3 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","White","Total","Firms with 4 to 5 years in business","2018","518","R","3,215","73,718","40.2","S","17.5","28.9"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","White","Total","Firms with 6 to 10 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","White","Total","Firms with 11 to 15 years in business","2018","1,116","U","6,310","259,078","18.1","S","39.1","44.3"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","White","Total","Firms with 16 or more years in business","2018","2,524","U","55,464","820,412","17.0","S","102.9","35.7"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Hispanic","White","Total","Firms with less than 2 years in business","2018","113","O","1,669","37,790","55.7","S","8.8","12.3"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Hispanic","White","Total","Firms with 2 to 3 years in business","2018","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Hispanic","White","Total","Firms with 4 to 5 years in business","2018","68","R","8,038","119,374","92.5","S","75.4","15.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Hispanic","White","Total","Firms with 6 to 10 years in business","2018","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Hispanic","White","Total","Firms with 11 to 15 years in business","2018","217","T","6,624","197,712","75.7","S","28.5","23.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Hispanic","White","Total","Firms with 16 or more years in business","2018","178","T","4,033","98,948","48.1","S","25.1","15.2"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Equally Hispanic/non-Hispanic","White","Total","Firms with less than 2 years in business","2018","7","I","6","196","22.9","S","26.8","0.9"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Equally Hispanic/non-Hispanic","White","Total","Firms with 2 to 3 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Equally Hispanic/non-Hispanic","White","Total","Firms with 6 to 10 years in business","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Equally Hispanic/non-Hispanic","White","Total","Firms with 16 or more years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","White","Total","Firms with less than 2 years in business","2018","2,523","U","15,467","484,796","9.6","S","8.2","10.2"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","White","Total","Firms with 2 to 3 years in business","2018","2,472","U","54,029","341,159","19.2","S","128.8","36.7"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","White","Total","Firms with 4 to 5 years in business","2018","2,079","U","12,496","319,778","20.2","S","42.6","34.0"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","White","Total","Firms with 6 to 10 years in business","2018","2,898","U","59,913","754,260","18.0","S","12.9","45.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","White","Total","Firms with 11 to 15 years in business","2018","3,687","U","21,670","917,110","17.6","S","17.0","19.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","White","Total","Firms with 16 or more years in business","2018","9,565","W","212,132","3,895,277","8.7","S","67.3","22.4"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Black or African American","Total","Firms with less than 2 years in business","2018","4","I","6","77","40.1","S","26.8","1.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Black or African American","Total","Firms with 4 to 5 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Black or African American","Total","Firms with 6 to 10 years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Black or African American","Total","Firms with 16 or more years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Black or African American","Total","Firms with less than 2 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Black or African American","Total","Firms with 4 to 5 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Black or African American","Total","Firms with 6 to 10 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Black or African American","Total","Firms with less than 2 years in business","2018","4","I","6","50","40.1","S","53.5","3.7"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Black or African American","Total","Firms with 6 to 10 years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Black or African American","Total","Firms with 16 or more years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Black or African American","Total","Firms with less than 2 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","Black or African American","Total","Firms with less than 2 years in business","2018","4","I","6","77","40.1","S","26.8","1.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","Black or African American","Total","Firms with 4 to 5 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","Black or African American","Total","Firms with 6 to 10 years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","Black or African American","Total","Firms with 16 or more years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","American Indian and Alaska Native","Total","Firms with less than 2 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","American Indian and Alaska Native","Total","Firms with 2 to 3 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","American Indian and Alaska Native","Total","Firms with 4 to 5 years in business","2018","D","D","250 to 499 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","American Indian and Alaska Native","Total","Firms with 6 to 10 years in business","2018","27","K","122","2,206","114.5","S","100.8","35.0"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","American Indian and Alaska Native","Total","Firms with 11 to 15 years in business","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","American Indian and Alaska Native","Total","Firms with 16 or more years in business","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","American Indian and Alaska Native","Total","Firms with less than 2 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","American Indian and Alaska Native","Total","Firms with 2 to 3 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","American Indian and Alaska Native","Total","Firms with 11 to 15 years in business","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","American Indian and Alaska Native","Total","Firms with less than 2 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","American Indian and Alaska Native","Total","Firms with 2 to 3 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","American Indian and Alaska Native","Total","Firms with 4 to 5 years in business","2018","D","D","250 to 499 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","American Indian and Alaska Native","Total","Firms with 6 to 10 years in business","2018","27","K","122","2,206","114.5","S","100.8","35.0"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","American Indian and Alaska Native","Total","Firms with 11 to 15 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","American Indian and Alaska Native","Total","Firms with 16 or more years in business","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Hispanic","American Indian and Alaska Native","Total","Firms with less than 2 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","American Indian and Alaska Native","Total","Firms with less than 2 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","American Indian and Alaska Native","Total","Firms with 2 to 3 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","American Indian and Alaska Native","Total","Firms with 4 to 5 years in business","2018","D","D","250 to 499 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","American Indian and Alaska Native","Total","Firms with 6 to 10 years in business","2018","27","K","122","2,206","114.5","S","100.8","35.0"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","American Indian and Alaska Native","Total","Firms with 11 to 15 years in business","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","American Indian and Alaska Native","Total","Firms with 16 or more years in business","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Asian","Total","Firms with less than 2 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Asian","Total","Firms with 2 to 3 years in business","2018","32","O","107,301","36,082","147.9","S","2.4","4.5"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Asian","Total","Firms with 4 to 5 years in business","2018","4","B","0","42","40.1","S","0.0","11.5"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Asian","Total","Firms with 6 to 10 years in business","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Asian","Total","Firms with 11 to 15 years in business","2018","D","D","500 to 999 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Asian","Total","Firms with 16 or more years in business","2018","D","D","5,000 to 9,999 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Asian","Total","Firms with less than 2 years in business","2018","2","B","1","171","80.3","S","160.5","0.7"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Asian","Total","Firms with 2 to 3 years in business","2018","D","D","500 to 999 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Asian","Total","Firms with less than 2 years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Asian","Total","Firms with 2 to 3 years in business","2018","31","O","106,536","23,791","152.7","S","2.4","4.5"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Asian","Total","Firms with 4 to 5 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Asian","Total","Firms with 6 to 10 years in business","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Asian","Total","Firms with 11 to 15 years in business","2018","D","D","500 to 999 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Asian","Total","Firms with 16 or more years in business","2018","D","D","5,000 to 9,999 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Asian","Total","Firms with less than 2 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Asian","Total","Firms with 4 to 5 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Asian","Total","Firms with 6 to 10 years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Hispanic","Asian","Total","Firms with less than 2 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","Asian","Total","Firms with less than 2 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","Asian","Total","Firms with 2 to 3 years in business","2018","32","O","107,301","36,082","147.9","S","2.4","4.5"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","Asian","Total","Firms with 4 to 5 years in business","2018","4","B","0","42","40.1","S","0.0","11.5"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","Asian","Total","Firms with 6 to 10 years in business","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","Asian","Total","Firms with 11 to 15 years in business","2018","D","D","500 to 999 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","Asian","Total","Firms with 16 or more years in business","2018","D","D","5,000 to 9,999 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with less than 2 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 2 to 3 years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 4 to 5 years in business","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 6 to 10 years in business","2018","D","D","500 to 999 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with less than 2 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 2 to 3 years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 4 to 5 years in business","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 6 to 10 years in business","2018","D","D","500 to 999 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 4 to 5 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 6 to 10 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with less than 2 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with 2 to 3 years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with 4 to 5 years in business","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with 6 to 10 years in business","2018","D","D","500 to 999 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with 4 to 5 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with 6 to 10 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Minority","Total","Firms with less than 2 years in business","2018","195","R","1,773","42,566","36.4","S","8.3","10.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Minority","Total","Firms with 2 to 3 years in business","2018","S","S","100,000 employees or more","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Minority","Total","Firms with 4 to 5 years in business","2018","92","R","8,541","124,802","76.7","S","70.8","15.5"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Minority","Total","Firms with 6 to 10 years in business","2018","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Minority","Total","Firms with 11 to 15 years in business","2018","279","T","7,434","347,285","61.5","S","27.7","66.6"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Minority","Total","Firms with 16 or more years in business","2018","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Minority","Total","Firms with less than 2 years in business","2018","22","M","431","19,202","7.3","S","0.4","2.5"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Minority","Total","Firms with 2 to 3 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
