"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Sex code (SEX_LABEL)","Meaning of Ethnicity code (ETH_GROUP_LABEL)","Meaning of Race code (RACE_GROUP_LABEL)","Meaning of Veteran code (VET_GROUP_LABEL)","Meaning of Employment size of firms code (EMPSZFI_LABEL)","Year (YEAR)","Number of employer firms (FIRMPDEMP)","Sales, value of shipments, or revenue of employer firms ($1,000) (RCPPDEMP)","Number of employees (EMP)","Annual payroll ($1,000) (PAYANN)","Relative standard error of employer firms (%) (FIRMPDEMP_S)","Relative standard error of sales, value of shipments, or revenue of employer firms (%) (RCPPDEMP_S)","Relative standard error of number of employees (%) (EMP_S)","Relative standard error of annual payroll (%) (PAYANN_S)"
"United States","31-33","Manufacturing","Equally male/female","Total","Asian","Total","Firms with 1 to 4 employees","2018","666","R","1,385","50,401","14.6","S","14.9","26.9"
"United States","31-33","Manufacturing","Equally male/female","Total","Asian","Total","Firms with 5 to 9 employees","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Equally male/female","Total","Asian","Total","Firms with 10 to 19 employees","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Equally male/female","Total","Asian","Total","Firms with 20 to 49 employees","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Equally male/female","Total","Asian","Total","Firms with 50 to 99 employees","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Equally male/female","Total","Asian","Total","Firms with 100 to 249 employees","2018","10","R","1,302","62,043","27.3","S","33.1","21.8"
"United States","31-33","Manufacturing","Equally male/female","Total","Asian","Total","Firms with 250 to 499 employees","2018","4","R","1,171","62,384","40.1","S","0.1","0.2"
"United States","31-33","Manufacturing","Equally male/female","Total","Asian","Total","Firms with 500 employees or more","2018","5","U","3,064","211,589","32.1","S","0.7","1.1"
"United States","31-33","Manufacturing","Total","Hispanic","Asian","Total","Firms with no employees","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","31-33","Manufacturing","Total","Hispanic","Asian","Total","Firms with 1 to 4 employees","2018","10","I","17","267","42.8","S","37.1","43.1"
"United States","31-33","Manufacturing","Total","Hispanic","Asian","Total","Firms with 5 to 9 employees","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Total","Hispanic","Asian","Total","Firms with 10 to 19 employees","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Total","Hispanic","Asian","Total","Firms with 50 to 99 employees","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","31-33","Manufacturing","Total","Equally Hispanic/non-Hispanic","Asian","Total","Firms with 5 to 9 employees","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","31-33","Manufacturing","Total","Non-Hispanic","Asian","Total","Firms with no employees","2018","921","T","0","76,925","16.6","S","0.0","3.0"
"United States","31-33","Manufacturing","Total","Non-Hispanic","Asian","Total","Firms with 1 to 4 employees","2018","4,343","U","9,602","365,091","7.6","S","8.1","5.9"
"United States","31-33","Manufacturing","Total","Non-Hispanic","Asian","Total","Firms with 5 to 9 employees","2018","1,968","U","12,957","543,522","8.2","S","8.7","10.0"
"United States","31-33","Manufacturing","Total","Non-Hispanic","Asian","Total","Firms with 10 to 19 employees","2018","1,553","U","20,929","836,619","14.1","S","14.1","13.0"
"United States","31-33","Manufacturing","Total","Non-Hispanic","Asian","Total","Firms with 20 to 49 employees","2018","1,324","W","38,478","1,794,160","10.7","S","13.2","15.0"
"United States","31-33","Manufacturing","Total","Non-Hispanic","Asian","Total","Firms with 50 to 99 employees","2018","376","W","25,301","1,150,189","23.0","S","20.8","18.6"
"United States","31-33","Manufacturing","Total","Non-Hispanic","Asian","Total","Firms with 100 to 249 employees","2018","210","W","28,711","1,347,190","24.7","S","24.2","22.6"
"United States","31-33","Manufacturing","Total","Non-Hispanic","Asian","Total","Firms with 250 to 499 employees","2018","57","W","16,199","755,376","25.8","S","20.2","15.6"
"United States","31-33","Manufacturing","Total","Non-Hispanic","Asian","Total","Firms with 500 employees or more","2018","S","S","50,000 to 99,999 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Total","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with no employees","2018","12","I","0","428","13.4","S","0.0","0.9"
"United States","31-33","Manufacturing","Total","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 1 to 4 employees","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Total","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 5 to 9 employees","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Total","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 10 to 19 employees","2018","13","L","174","5,469","18.2","S","13.3","11.9"
"United States","31-33","Manufacturing","Total","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 20 to 49 employees","2018","12","M","364","15,819","13.4","S","0.4","1.0"
"United States","31-33","Manufacturing","Total","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 50 to 99 employees","2018","6","M","285","11,878","66.2","S","66.7","47.5"
"United States","31-33","Manufacturing","Total","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 100 to 249 employees","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","31-33","Manufacturing","Total","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 500 employees or more","2018","D","D","500 to 999 employees","D","D","D","D","D"
"United States","31-33","Manufacturing","Female","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with no employees","2018","4","B","0","97","40.1","S","0.0","0.7"
"United States","31-33","Manufacturing","Female","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 1 to 4 employees","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Female","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 5 to 9 employees","2018","11","K","83","2,775","54.0","S","50.1","58.2"
"United States","31-33","Manufacturing","Female","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 10 to 19 employees","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","31-33","Manufacturing","Female","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 20 to 49 employees","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","31-33","Manufacturing","Male","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with no employees","2018","9","I","0","331","17.8","S","0.0","1.0"
"United States","31-33","Manufacturing","Male","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 1 to 4 employees","2018","64","K","119","3,090","69.5","S","42.9","34.7"
"United States","31-33","Manufacturing","Male","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 5 to 9 employees","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Male","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 10 to 19 employees","2018","11","L","146","5,019","18.7","S","15.1","12.9"
"United States","31-33","Manufacturing","Male","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 20 to 49 employees","2018","7","L","247","11,998","22.9","S","0.3","1.7"
"United States","31-33","Manufacturing","Male","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 50 to 99 employees","2018","6","M","285","11,878","66.2","S","66.7","47.5"
"United States","31-33","Manufacturing","Male","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 100 to 249 employees","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","31-33","Manufacturing","Male","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 500 employees or more","2018","D","D","500 to 999 employees","D","D","D","D","D"
"United States","31-33","Manufacturing","Equally male/female","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 1 to 4 employees","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","31-33","Manufacturing","Equally male/female","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 20 to 49 employees","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","31-33","Manufacturing","Total","Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with no employees","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","31-33","Manufacturing","Total","Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with 1 to 4 employees","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Total","Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with 5 to 9 employees","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Total","Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with 10 to 19 employees","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","31-33","Manufacturing","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with no employees","2018","11","I","0","400","14.6","S","0.0","1.4"
"United States","31-33","Manufacturing","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with 1 to 4 employees","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with 5 to 9 employees","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with 10 to 19 employees","2018","12","L","161","5,190","19.7","S","14.4","12.5"
"United States","31-33","Manufacturing","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with 20 to 49 employees","2018","12","M","364","15,819","13.4","S","0.4","1.0"
"United States","31-33","Manufacturing","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with 50 to 99 employees","2018","6","M","285","11,878","66.2","S","66.7","47.5"
"United States","31-33","Manufacturing","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with 100 to 249 employees","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","31-33","Manufacturing","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with 500 employees or more","2018","D","D","500 to 999 employees","D","D","D","D","D"
"United States","31-33","Manufacturing","Total","Total","Minority","Total","Firms with no employees","2018","1,892","U","0","147,205","9.2","S","0.0","2.8"
"United States","31-33","Manufacturing","Total","Total","Minority","Total","Firms with 1 to 4 employees","2018","9,660","U","21,212","726,031","4.0","S","5.5","4.5"
"United States","31-33","Manufacturing","Total","Total","Minority","Total","Firms with 5 to 9 employees","2018","4,432","U","29,491","1,089,850","6.3","S","7.0","8.8"
"United States","31-33","Manufacturing","Total","Total","Minority","Total","Firms with 10 to 19 employees","2018","3,441","W","46,548","1,770,386","8.8","S","8.9","9.3"
"United States","31-33","Manufacturing","Total","Total","Minority","Total","Firms with 20 to 49 employees","2018","2,591","W","76,357","3,412,877","7.0","S","7.5","8.2"
"United States","31-33","Manufacturing","Total","Total","Minority","Total","Firms with 50 to 99 employees","2018","773","W","52,148","2,478,570","18.4","S","18.4","22.1"
"United States","31-33","Manufacturing","Total","Total","Minority","Total","Firms with 100 to 249 employees","2018","368","W","53,167","2,515,614","17.5","S","18.7","17.1"
"United States","31-33","Manufacturing","Total","Total","Minority","Total","Firms with 250 to 499 employees","2018","88","W","25,107","1,138,427","17.5","S","13.9","11.2"
"United States","31-33","Manufacturing","Total","Total","Minority","Total","Firms with 500 employees or more","2018","90","W","87,071","2,766,223","65.1","S","24.4","29.6"
"United States","31-33","Manufacturing","Female","Total","Minority","Total","Firms with no employees","2018","411","O","0","17,622","20.0","S","0.0","23.5"
"United States","31-33","Manufacturing","Female","Total","Minority","Total","Firms with 1 to 4 employees","2018","2,513","T","5,533","181,016","10.7","S","9.6","13.6"
"United States","31-33","Manufacturing","Female","Total","Minority","Total","Firms with 5 to 9 employees","2018","892","T","5,971","191,187","10.8","S","11.4","12.2"
"United States","31-33","Manufacturing","Female","Total","Minority","Total","Firms with 10 to 19 employees","2018","782","U","10,826","346,666","17.0","S","16.9","17.9"
"United States","31-33","Manufacturing","Female","Total","Minority","Total","Firms with 20 to 49 employees","2018","516","U","15,271","667,969","19.6","S","19.8","21.0"
"United States","31-33","Manufacturing","Female","Total","Minority","Total","Firms with 50 to 99 employees","2018","101","U","7,051","287,516","44.5","S","52.2","44.8"
"United States","31-33","Manufacturing","Female","Total","Minority","Total","Firms with 100 to 249 employees","2018","74","U","10,596","502,751","64.9","S","59.0","47.9"
"United States","31-33","Manufacturing","Female","Total","Minority","Total","Firms with 250 to 499 employees","2018","15","U","4,233","170,327","26.3","S","15.8","15.4"
"United States","31-33","Manufacturing","Female","Total","Minority","Total","Firms with 500 employees or more","2018","3","U","7,709","394,681","53.5","S","2.3","1.8"
"United States","31-33","Manufacturing","Male","Total","Minority","Total","Firms with no employees","2018","1,242","U","0","114,671","12.8","S","0.0","2.9"
"United States","31-33","Manufacturing","Male","Total","Minority","Total","Firms with 1 to 4 employees","2018","5,912","U","13,111","465,376","4.4","S","7.1","7.0"
"United States","31-33","Manufacturing","Male","Total","Minority","Total","Firms with 5 to 9 employees","2018","2,883","U","19,263","738,830","11.7","S","12.7","13.8"
"United States","31-33","Manufacturing","Male","Total","Minority","Total","Firms with 10 to 19 employees","2018","2,195","U","29,451","1,190,567","8.6","S","10.2","11.1"
"United States","31-33","Manufacturing","Male","Total","Minority","Total","Firms with 20 to 49 employees","2018","1,740","W","50,495","2,297,786","7.5","S","9.6","12.5"
"United States","31-33","Manufacturing","Male","Total","Minority","Total","Firms with 50 to 99 employees","2018","609","W","41,022","2,021,450","22.3","S","19.9","25.6"
"United States","31-33","Manufacturing","Male","Total","Minority","Total","Firms with 100 to 249 employees","2018","277","W","40,196","1,914,229","20.3","S","21.9","20.2"
"United States","31-33","Manufacturing","Male","Total","Minority","Total","Firms with 250 to 499 employees","2018","68","W","19,410","896,820","21.6","S","16.9","13.1"
"United States","31-33","Manufacturing","Male","Total","Minority","Total","Firms with 500 employees or more","2018","82","W","76,299","2,159,953","71.5","S","27.8","37.9"
"United States","31-33","Manufacturing","Equally male/female","Total","Minority","Total","Firms with no employees","2018","239","O","0","14,912","28.2","S","0.0","10.2"
"United States","31-33","Manufacturing","Equally male/female","Total","Minority","Total","Firms with 1 to 4 employees","2018","1,235","R","2,569","79,639","9.5","S","8.7","15.6"
"United States","31-33","Manufacturing","Equally male/female","Total","Minority","Total","Firms with 5 to 9 employees","2018","659","T","4,257","159,832","23.5","S","24.5","31.7"
"United States","31-33","Manufacturing","Equally male/female","Total","Minority","Total","Firms with 10 to 19 employees","2018","464","T","6,272","233,153","21.2","S","23.1","30.0"
"United States","31-33","Manufacturing","Equally male/female","Total","Minority","Total","Firms with 20 to 49 employees","2018","337","U","10,591","447,122","28.5","S","31.2","34.8"
"United States","31-33","Manufacturing","Equally male/female","Total","Minority","Total","Firms with 50 to 99 employees","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Equally male/female","Total","Minority","Total","Firms with 100 to 249 employees","2018","17","T","2,375","98,634","19.0","S","18.6","14.8"
"United States","31-33","Manufacturing","Equally male/female","Total","Minority","Total","Firms with 250 to 499 employees","2018","5","R","1,463","71,280","32.1","S","0.6","0.5"
"United States","31-33","Manufacturing","Equally male/female","Total","Minority","Total","Firms with 500 employees or more","2018","5","U","3,064","211,589","32.1","S","0.7","1.1"
"United States","31-33","Manufacturing","Total","Total","Equally minority/nonminority","Total","Firms with no employees","2018","279","R","0","25,850","14.2","S","0.0","7.2"
"United States","31-33","Manufacturing","Total","Total","Equally minority/nonminority","Total","Firms with 1 to 4 employees","2018","1,593","T","3,704","109,969","11.2","S","13.8","12.8"
"United States","31-33","Manufacturing","Total","Total","Equally minority/nonminority","Total","Firms with 5 to 9 employees","2018","750","T","4,961","159,921","20.9","S","20.4","17.4"
"United States","31-33","Manufacturing","Total","Total","Equally minority/nonminority","Total","Firms with 10 to 19 employees","2018","382","T","5,012","223,269","36.3","S","37.2","42.8"
"United States","31-33","Manufacturing","Total","Total","Equally minority/nonminority","Total","Firms with 20 to 49 employees","2018","219","T","6,257","250,327","30.2","S","30.2","23.8"
"United States","31-33","Manufacturing","Total","Total","Equally minority/nonminority","Total","Firms with 50 to 99 employees","2018","56","T","3,359","157,556","34.5","S","27.8","30.5"
"United States","31-33","Manufacturing","Total","Total","Equally minority/nonminority","Total","Firms with 100 to 249 employees","2018","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Total","Total","Equally minority/nonminority","Total","Firms with 250 to 499 employees","2018","4","R","1,564","78,431","63.7","S","21.1","12.1"
"United States","31-33","Manufacturing","Total","Total","Equally minority/nonminority","Total","Firms with 500 employees or more","2018","3","T","3,232","145,498","53.5","S","1.2","1.8"
"United States","31-33","Manufacturing","Female","Total","Equally minority/nonminority","Total","Firms with no employees","2018","8","I","0","209","20.1","S","0.0","1.2"
"United States","31-33","Manufacturing","Female","Total","Equally minority/nonminority","Total","Firms with 1 to 4 employees","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Female","Total","Equally minority/nonminority","Total","Firms with 5 to 9 employees","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Female","Total","Equally minority/nonminority","Total","Firms with 10 to 19 employees","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","31-33","Manufacturing","Female","Total","Equally minority/nonminority","Total","Firms with 20 to 49 employees","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Male","Total","Equally minority/nonminority","Total","Firms with no employees","2018","S","S","0 to 19 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Male","Total","Equally minority/nonminority","Total","Firms with 1 to 4 employees","2018","333","R","761","29,838","24.8","S","24.5","21.9"
"United States","31-33","Manufacturing","Male","Total","Equally minority/nonminority","Total","Firms with 5 to 9 employees","2018","197","R","1,440","53,388","31.8","S","37.3","24.1"
"United States","31-33","Manufacturing","Male","Total","Equally minority/nonminority","Total","Firms with 10 to 19 employees","2018","79","R","1,031","50,132","24.5","S","24.6","28.6"
"United States","31-33","Manufacturing","Male","Total","Equally minority/nonminority","Total","Firms with 20 to 49 employees","2018","38","R","1,016","49,933","36.8","S","34.6","23.6"
"United States","31-33","Manufacturing","Male","Total","Equally minority/nonminority","Total","Firms with 50 to 99 employees","2018","22","R","1,343","64,658","31.2","S","32.6","37.9"
"United States","31-33","Manufacturing","Male","Total","Equally minority/nonminority","Total","Firms with 100 to 249 employees","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Male","Total","Equally minority/nonminority","Total","Firms with 250 to 499 employees","2018","5","R","1,230","57,600","30.8","S","26.9","16.5"
"United States","31-33","Manufacturing","Male","Total","Equally minority/nonminority","Total","Firms with 500 employees or more","2018","2","T","2,762","116,688","80.3","S","0.5","1.0"
"United States","31-33","Manufacturing","Equally male/female","Total","Equally minority/nonminority","Total","Firms with no employees","2018","204","O","0","19,378","18.5","S","0.0","6.2"
"United States","31-33","Manufacturing","Equally male/female","Total","Equally minority/nonminority","Total","Firms with 1 to 4 employees","2018","1,229","R","2,879","78,342","12.0","S","16.2","14.8"
"United States","31-33","Manufacturing","Equally male/female","Total","Equally minority/nonminority","Total","Firms with 5 to 9 employees","2018","513","R","3,280","98,148","18.0","S","15.8","16.0"
"United States","31-33","Manufacturing","Equally male/female","Total","Equally minority/nonminority","Total","Firms with 10 to 19 employees","2018","301","T","3,942","172,216","42.7","S","44.4","49.9"
"United States","31-33","Manufacturing","Equally male/female","Total","Equally minority/nonminority","Total","Firms with 20 to 49 employees","2018","175","T","5,071","193,415","38.6","S","36.7","29.1"
"United States","31-33","Manufacturing","Equally male/female","Total","Equally minority/nonminority","Total","Firms with 50 to 99 employees","2018","35","R","2,016","92,898","39.6","S","32.3","30.8"
"United States","31-33","Manufacturing","Equally male/female","Total","Equally minority/nonminority","Total","Firms with 100 to 249 employees","2018","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Equally male/female","Total","Equally minority/nonminority","Total","Firms with 250 to 499 employees","2018","D","D","250 to 499 employees","D","D","D","D","D"
"United States","31-33","Manufacturing","Equally male/female","Total","Equally minority/nonminority","Total","Firms with 500 employees or more","2018","D","D","250 to 499 employees","D","D","D","D","D"
"United States","31-33","Manufacturing","Total","Total","Nonminority","Total","Firms with no employees","2018","14,352","W","0","2,137,691","3.3","S","0.0","1.8"
"United States","31-33","Manufacturing","Total","Total","Nonminority","Total","Firms with 1 to 4 employees","2018","72,629","W","163,509","6,526,671","2.3","S","2.5","9.0"
"United States","31-33","Manufacturing","Total","Total","Nonminority","Total","Firms with 5 to 9 employees","2018","38,117","W","253,639","10,306,884","3.2","S","3.4","3.5"
"United States","31-33","Manufacturing","Total","Total","Nonminority","Total","Firms with 10 to 19 employees","2018","32,654","W","443,686","19,399,374","4.2","S","4.0","5.0"
"United States","31-33","Manufacturing","Total","Total","Nonminority","Total","Firms with 20 to 49 employees","2018","29,889","W","904,773","44,504,833","4.1","S","4.2","5.2"
"United States","31-33","Manufacturing","Total","Total","Nonminority","Total","Firms with 50 to 99 employees","2018","11,286","W","745,909","38,514,774","4.8","S","5.7","5.1"
"United States","31-33","Manufacturing","Total","Total","Nonminority","Total","Firms with 100 to 249 employees","2018","7,347","W","1,021,599","53,132,235","5.9","S","5.7","7.6"
"United States","31-33","Manufacturing","Total","Total","Nonminority","Total","Firms with 250 to 499 employees","2018","2,163","W","620,771","32,671,732","17.2","S","18.0","16.9"
"United States","31-33","Manufacturing","Total","Total","Nonminority","Total","Firms with 500 employees or more","2018","1,153","W","1,020,418","53,893,664","5.6","S","3.1","2.9"
"United States","31-33","Manufacturing","Female","Total","Nonminority","Total","Firms with no employees","2018","2,427","U","0","297,187","9.2","S","0.0","8.1"
"United States","31-33","Manufacturing","Female","Total","Nonminority","Total","Firms with 1 to 4 employees","2018","11,530","U","25,610","853,365","3.8","S","5.1","4.7"
"United States","31-33","Manufacturing","Female","Total","Nonminority","Total","Firms with 5 to 9 employees","2018","6,036","W","40,238","1,455,313","4.6","S","4.2","5.6"
"United States","31-33","Manufacturing","Female","Total","Nonminority","Total","Firms with 10 to 19 employees","2018","4,953","W","65,604","2,657,754","4.9","S","4.7","6.7"
"United States","31-33","Manufacturing","Female","Total","Nonminority","Total","Firms with 20 to 49 employees","2018","4,041","W","117,588","5,327,648","5.3","S","5.8","5.0"
"United States","31-33","Manufacturing","Female","Total","Nonminority","Total","Firms with 50 to 99 employees","2018","1,276","W","84,842","4,231,184","13.3","S","13.4","15.6"
"United States","31-33","Manufacturing","Female","Total","Nonminority","Total","Firms with 100 to 249 employees","2018","698","W","96,881","5,486,161","15.9","S","14.6","17.2"
"United States","31-33","Manufacturing","Female","Total","Nonminority","Total","Firms with 250 to 499 employees","2018","S","S","50,000 to 99,999 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Female","Total","Nonminority","Total","Firms with 500 employees or more","2018","105","W","93,103","4,717,344","1.5","S","0.4","0.1"
"United States","31-33","Manufacturing","Male","Total","Nonminority","Total","Firms with no employees","2018","9,478","W","0","1,588,178","5.6","S","0.0","2.6"
"United States","31-33","Manufacturing","Male","Total","Nonminority","Total","Firms with 1 to 4 employees","2018","48,475","W","109,192","4,685,793","3.1","S","4.1","12.3"
"United States","31-33","Manufacturing","Male","Total","Nonminority","Total","Firms with 5 to 9 employees","2018","25,642","W","170,401","7,289,565","4.0","S","4.4","4.7"
"United States","31-33","Manufacturing","Male","Total","Nonminority","Total","Firms with 10 to 19 employees","2018","22,851","W","312,413","14,131,711","5.1","S","5.2","5.3"
"United States","31-33","Manufacturing","Male","Total","Nonminority","Total","Firms with 20 to 49 employees","2018","22,300","W","679,251","34,217,516","4.8","S","4.6","5.7"
"United States","31-33","Manufacturing","Male","Total","Nonminority","Total","Firms with 50 to 99 employees","2018","8,988","W","598,652","31,333,958","6.6","S","7.2","7.7"
"United States","31-33","Manufacturing","Male","Total","Nonminority","Total","Firms with 100 to 249 employees","2018","6,004","W","828,174","43,078,773","6.6","S","6.6","8.9"
"United States","31-33","Manufacturing","Male","Total","Nonminority","Total","Firms with 250 to 499 employees","2018","1,808","W","515,591","27,512,602","17.8","S","19.0","17.5"
"United States","31-33","Manufacturing","Male","Total","Nonminority","Total","Firms with 500 employees or more","2018","971","W","879,411","46,975,830","5.9","S","3.2","2.9"
"United States","31-33","Manufacturing","Equally male/female","Total","Nonminority","Total","Firms with no employees","2018","2,445","U","0","252,326","8.4","S","0.0","4.0"
"United States","31-33","Manufacturing","Equally male/female","Total","Nonminority","Total","Firms with 1 to 4 employees","2018","12,626","U","28,708","987,513","3.3","S","4.1","5.2"
"United States","31-33","Manufacturing","Equally male/female","Total","Nonminority","Total","Firms with 5 to 9 employees","2018","6,441","W","43,000","1,562,005","3.7","S","4.0","5.9"
"United States","31-33","Manufacturing","Equally male/female","Total","Nonminority","Total","Firms with 10 to 19 employees","2018","4,851","W","65,669","2,609,909","7.8","S","7.7","11.0"
"United States","31-33","Manufacturing","Equally male/female","Total","Nonminority","Total","Firms with 20 to 49 employees","2018","3,547","W","107,934","4,959,668","7.2","S","8.1","9.9"
"United States","31-33","Manufacturing","Equally male/female","Total","Nonminority","Total","Firms with 50 to 99 employees","2018","1,020","W","62,415","2,949,631","10.8","S","12.7","11.7"
"United States","31-33","Manufacturing","Equally male/female","Total","Nonminority","Total","Firms with 100 to 249 employees","2018","647","W","96,544","4,567,301","24.3","S","28.6","29.6"
"United States","31-33","Manufacturing","Equally male/female","Total","Nonminority","Total","Firms with 250 to 499 employees","2018","135","W","41,238","1,837,565","47.5","S","54.1","49.0"
"United States","31-33","Manufacturing","Equally male/female","Total","Nonminority","Total","Firms with 500 employees or more","2018","74","W","47,904","2,200,490","11.9","S","9.2","12.4"
"United States","31-33","Manufacturing","Total","Total","Total","Veteran","Firms with no employees","2018","1,187","U","0","283,150","14.1","S","0.0","4.6"
"United States","31-33","Manufacturing","Total","Total","Total","Veteran","Firms with 1 to 4 employees","2018","6,232","U","13,989","529,863","7.1","S","8.3","14.6"
"United States","31-33","Manufacturing","Total","Total","Total","Veteran","Firms with 5 to 9 employees","2018","2,932","U","18,998","759,223","8.1","S","9.3","9.4"
"United States","31-33","Manufacturing","Total","Total","Total","Veteran","Firms with 10 to 19 employees","2018","2,524","W","34,037","1,511,391","8.7","S","9.4","15.4"
"United States","31-33","Manufacturing","Total","Total","Total","Veteran","Firms with 20 to 49 employees","2018","2,101","W","65,686","3,294,926","12.6","S","14.6","14.4"
"United States","31-33","Manufacturing","Total","Total","Total","Veteran","Firms with 50 to 99 employees","2018","926","W","63,509","3,225,494","26.4","S","25.9","26.2"
"United States","31-33","Manufacturing","Total","Total","Total","Veteran","Firms with 100 to 249 employees","2018","633","W","79,336","4,020,112","19.9","S","22.1","17.8"
"United States","31-33","Manufacturing","Total","Total","Total","Veteran","Firms with 250 to 499 employees","2018","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Total","Total","Total","Veteran","Firms with 500 employees or more","2018","108","W","85,228","4,507,165","30.0","S","10.0","15.9"
"United States","31-33","Manufacturing","Female","Total","Total","Veteran","Firms with no employees","2018","34","L","0","3,370","17.9","S","0.0","35.6"
"United States","31-33","Manufacturing","Female","Total","Total","Veteran","Firms with 1 to 4 employees","2018","149","L","313","7,949","48.2","S","57.4","50.7"
"United States","31-33","Manufacturing","Female","Total","Total","Veteran","Firms with 5 to 9 employees","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","31-33","Manufacturing","Female","Total","Total","Veteran","Firms with 10 to 19 employees","2018","16","L","237","7,259","53.9","S","54.9","53.9"
